RequirementText_string,Class
program administrator nursing staff member shall able add new class nursing department system ,F
class shall either nonclinical class clinical class ,F
nonclinical class shall specify course name lecture room requirement instructor need ,F
clinical class shall specify course name lecture room requirement clinical site need lecture instructor need clinical lab instructor need ,F
program administrator nursing staff member shall able create new program study ,F
program study shall consist program name listing required class clinical nonclinical must completed ,F
program administrator nursing staff member shall ability specify class required program study ,F
system shall able display report needed class given quarter cohort program program administrator nursing staff member planning purpose ,F
report needed class shall include limited class offered number section needed number lab needed room type needed ,F
class given cohort shall conflict regard time day offered ,F
program administrator nursing staff member shall able add new clinical site system ,F
clinical site information shall include limited name site contact person contact information ,F
program administrator nursing staff member shall able add new clinical lab section existing clinical class system ,F
clinical lab section shall include clinical site name class instructor day time lab ,F
program administrator nursing staff member shall able add student registered clinical class clinical lab section class ,F
system shall allow program administrator nursing staff member remove student clinical lab section ,F
system shall allow program administrator nursing staff member move student one clinical lab section another clinical lab section corresponding clinical class ,F
program administrator nursing staff member shall able cancel clinical lab section student registered clinical lab section ,F
program administrator nursing staff member shall able add new nursing student system ,F
staff member shall ability manage progress part time student includes modifying sequence class timeline class ,F
system shall able display printable summary individual cohort include student enlisted program study sequence class cohort progress program timeline completion ,F
system shall able display printable summary individual clinical site include information lab held site given quarter clinical site general information lab held location date time lab held ,F
system shall able display printable summary individual clinical lab include limited class name class number lab section listing student enrolled instructor day time location ,F
system shall able display printable summary individual nursing student include limited student name student id admission date class credit gpa cohort student enrolled ,F
system shall able display printable summary system log ,F
system shall contain contact information email phone number people relevant system including limited staff member student lecture instructor clinical lab instructor clinical site administrator ,F
system use stored email address primary mean communicating information affected party ,F
system notify affected party routine communication purpose including limited informing student upcoming offered class timeline schedule shall ,F
system notify affected party change occur affecting clinicals including limited clinical section capacity change clinical section cancellation ,F
system notify affected party change occur affecting class including limited class cancellation class section detail change change class offering given quarter ,F
system notify affected party change occur affecting cohort including limited change sequence cohort program study change given week schedule lab cancelled week due instructor illness ,F
system notify affected party change occur affecting specific student including limited changing student status full time part time moving student different clinical section ,F
program administrator nursing staff member shall ability modify information relating cohort including cohort identifier program study preferred sequence class quarter cohort taking specific class ,F
program administrator nursing staff member shall ability modify information relating program study within nursing department including program study name required class program study ,F
program administrator nursing staff member shall ability modify information relating clinical site including clinical site name site contact person contact information address ,F
program administrator nursing staff member shall ability modify information relating clinical lab section including clinical site name department section lab class instructor day time lab contact information ,F
program administrator nursing staff member shall ability modify information relating nursing student including student id student name phone number email status full time part time program study ,F
dispute application shall comply corporate standard user interface creation internally externally used application ,NF
screen created part dispute application must comply corporate standard interface creation ,NF
list dispute case displayed search performed must color coded easy identification dispute case based upon dispute case status ,NF
one hundred point zero card member merchant service representative shall use dispute application regularly two point zero day training course ,NF
one hundred point zero cardmember service representative shall able successfully create dispute case first encounter completing training course ,NF
one hundred point zero merchant service representative shall able successfully perform follow action dispute case first encounter completing training course ,NF
maximum wait time user navigating one screen another within dispute application shall five point zero second ,NF
dispute application shall support three hundred and fifty point zero concurrent user without degradation performance application ,NF
dispute application shall available twenty-four point zero x seven point zero x three hundred and sixty-five point zero exception following scheduled maintenance window monday saturday three hundred point zero four hundred point zero est sunday one hundred point zero amd five hundred point zero est ,NF
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database ,NF
dispute application shall interface cardmember information database cardmember information database provides detailed information regard cardmember cardmember detail information must obtained cardmember information database ,NF
dispute application shall interface merchant information database merchant information database provides detailed information regard merchant merchant detail information shall obtained merchant information database ,NF
dispute application shall interface letter application allow dispute application request letter part dispute initiation dispute follow process letter request must sent print letter utility application ,NF
dispute application shall interface cardmember posting billing system allow dispute application request adjustment cardmember merchant account adjustment request must sent cardmember posting billing system ,NF
dispute application shall ensure user appropriate access level allowed initiate dispute request ,NF
user update access must able initiate dispute request ,NF
dispute application shall ensure authorized user allowed logon application ,NF
authorized user authenticated must able logon dispute system ,NF
dispute system shall generate user report detail new user added change existing user access level report reviewed auditing purpose ,NF
addition new user modification user access shall recorded user report ,NF
user account revoked reinstantiated system administrator ,NF
system administrator shall able reset revoked user logon account ,NF
dispute application shall manipulate view business data user direct access data file database ,NF
update data file database must initiated dispute system ,NF
dispute application must conform legal requirement specified merchant operating regulation ,NF
business rule specified dispute system shall compliance merchant operating regulation ,NF
dispute application must conform legal requirement specified regulation e regulation z govern credit card dispute processing ,NF
business rule specified dispute system shall compliance guideline regulation e regulation z ,NF
dispute application must maintain detailed history every action user take dispute case ensures complete audit trail question arise later regard particular dispute case ,NF
action modify existing dispute case must recorded case history ,NF
dispute system must accessible internal external user ,F
dispute system must prevent user accessing dispute case belong cardholder base ,F
dispute system facilitate direct data entry dispute case via user interface support real time response user ,F
dispute system must provide different level access regard dispute case initiation followup action ,F
dispute system shall provide view access capability authorized user application ,F
dispute system shall provide update access capability authorized user application ,F
dispute system must allow user select disputable transaction based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction ,F
dispute system must provide user ability initiate single dispute case multiple transaction belong single merchant ,F
dispute system provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction ,F
dispute system must prevent external user requesting original receipt request original receipt restricted internal user ,F
dispute system must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due ,F
dispute system shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request result printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid ,F
dispute system must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due ,F
dispute system shall prevent creation duplicate dispute request one hundred point zero time ,F
dispute system shall accurately provide list possible reason code given transaction list possible reason code must derived based type transaction industry merchant belongs according business rule defined dispute system ,F
dispute system must provide ability view existing dispute case ,F
list dispute case meet entered search criterion must provided user list case must differentiate type status case color coding line item list example open case yellow closed case gray ,F
dispute system shall provide user ability view history activity occurred dispute case ,F
dispute system must provide search functionality search method must include ability search one point zero dispute case number two point zero merchant account number three point zero cardmember account number four point zero issuer number addition criterion search functionality must allow user limit result search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code ,F
dispute system shall provide user ability follow dispute case via followup action list available follow action given dispute case must filtered status case access level user ,F
dispute system shall record name user date activity creates modifies dispute case system detailed history action taken case including date user performed action must maintained auditing purpose ,F
systematic nonuser initiated action occurs case dispute aging process case activity generated upon next logon user initiated dispute case must notified systematic action occurred dispute case ,F
letter request must formatted according guideline specified print letter utility system ,F
dispute case closed six point zero month must purged online dispute database ,F
product must support internet explorer fifty-five point zero ,NF
product must support mozilla firefox ten point zero ,NF
product shall interface choice part system provides feed recycled part data ,NF
product shall run existing hardware environment ,NF
product shall adhere corporate architecture guideline ,NF
product shall comply corporate user interface guideline ,NF
product shall comply corporate color scheme ,NF
appearance product shall appear professional ,NF
product shall easy use adjuster collision estimator ninety-five point zero adjuster collision estimator shall find product easy use ,NF
product shall increase productivity collision estimator eighty point zero collision estimator shall agree productivity increase within one point zero month using product ,NF
user shall feel satisfied using product eighty-five point zero user satisfied product ,NF
product shall easy learn adjuster collision estimator product shall learned two day onsite training ,NF
user shall easily locate instruction using product user help found within ninety point zero system ,NF
search recycled part shall take longer fifteen point zero second search result shall returned fifteen point zero second ,NF
search preferred repair facility shall take longer eight point zero second preferred repair facility returned within eight point zero second ,NF
recycled part audit report shall returned user within ten point zero second audit report shall returned within ten point zero second ,NF
preferred repair facility rating shall saved within five point zero second save shall occur within five point zero second ,NF
product shall adhere corporate online availability schedule application brought within ninety-eight point zero scheduled outage per availability schedule ,NF
product shall achieve ninety-eight point zero uptime product shall fail two point zero available online time ,NF
"product shall able handle one thousand, five hundred point zero simultaneous user system shall perform one thousand, five hundred point zero user time ",NF
average number recycled part record per day shall fifty thousand point zero ,NF
product shall able handle ten thousand point zero concurrent user within two point zero year initial launch ,NF
estimator product shall able operated repair facility dirty noisy condition ,NF
product shall interface choiceparts system per day approximately one hundred point zero ,NF
maintenance product fall within established corporate maintenance window ,NF
product shall supported using corporate support center ,NF
product installation upgrade shall handled middleware technology team within established launch time frame ,NF
adjuster request recycled part audit report user without adjuster role shall request recycled part audit ,NF
adjuster supervisor role update preferred repair facility rating user without supervisor role can not access repair facility rating ,NF
collision estimator shall search recycled part user without collision estimator role shall access search recycled part ,NF
valid data shall entered system invalid data shall entered system ,NF
one insurance company shall able view another insurance company claim data ,NF
product shall free computer virus ,NF
system shall prevent malicious attack including denial service ,NF
product must comply sarbanesoxley ,NF
product shall comply estimatics law relating recycled part usage ,NF
product shall comply insurance regulation regarding claim processing ,NF
user shall search preferred repair facility using vehicle vehicle location radius mile ,F
vehicle data shall include vehicle year make model ,F
vehicle location shall include street address city state zipcode ,F
system shall resolve zipcode street address city state zipcode unknown ,F
search radius shall one point zero thirty point zero mile ,F
system shall locate preferred repair facility highest rating input criterion ,F
adjuster shall enter preferred repair facility estimate assignment ,F
adjuster shall able override preferred repair facitlity estimate assignment ,F
preferred repair facility shall returned user ,F
system shall return list repair facility within radius preferred repair facility can not determined ,F
estimator shall search available recycled part using damaged vehicle part information ,F
estimator shall search available recycled part using list preferred part supplier ,F
system shall search available recycled part supplied vehicle part supplier ,F
estimator shall search zipcode radius thirty point zero mile part found preferred part supplier ,F
system shall retain available recycled part supplier returned search ,F
available recycled part information supplier shall returned user ,F
estimator shall apply selected recycled part collision estimate ,F
estimator shall apply recycled part collision estimate available part returned ,F
adjuster shall review collision estimate ,F
adjuster shall request recycled part audit collision estimate ,F
recycled part search result provided estimator shall retrieved system ,F
system shall generate audit report based available recycled part collision estimate ,F
audit report shall include total number recycled part used estimate ,F
audit report shall include number available recycled part original search result ,F
audit report shall include percentage available recycled part used estimate ,F
audit report shall include total score audit sum individual line item ,F
audit report shall displayed user ,F
audit report shall available adjuster later point time ,F
user shall select view preferred repair facility rating ,F
current repair facility rating shall displayed user ,F
system display blank set rating rating yet defined ,F
user shall enter new rating based audit report ,F
rating shall scale one point zero ten point zero ,F
rating shall include category attempted use recycled part actual use recycled part ,F
user shall select save preferred repair facility rating ,F
preferred repair facility rating shall saved system ,F
product must work database management system dbms market whether dbms colocated product machine located different machine computer network ,NF
product function alongside server software operating system java runtime installed ,NF
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network ,NF
product must make use web application server technology open source example include apache web server tomcat jboss application server ,NF
database management system oracle db2 mysql hsql need integrated product ,NF
product look feel shall able incorporate aspect customer organization logo branding identity ,NF
product shall conservative professional appearance ,NF
product shall make user want use eighty point zero user surveyed report regularly using product first two point zero week postlaunch ,NF
product shall easy use ninety point zero user able successfully reserve conference room within five point zero minute product use ,NF
product shall give user feedback necessary eighty point zero user surveyed report product accurately confirms action ,NF
product shall allow user select chosen language one target market country ,NF
product shall allow customization start page view preference ,NF
employee able successfully use product within minute informally navigating product le fifteen point zero minute user shall able successfully setup meeting reserve conference room ,NF
product shall use standard navigation menu familiar web user ,NF
product shall allow intuitive searching available conference room ,NF
product shall conform american disability act ,NF
response shall fast enough avoid interrupting user flow thought ninety point zero task shall complete within five point zero second ninety-eight point zero task shall complete within eight point zero second ,NF
"aside server failure software product shall achieve nine thousand, nine hundred and ninety-nine point zero time ",NF
product shall create exception log problem encountered within product transmission company analysis resolution ,NF
product shall capable handling one thousand point zero concurrent request number increase two thousand point zero release two point zero concurrency capacity must able handle peak scheduling time early morning late afternoon hour ,NF
product shall able process ten thousand point zero transaction per hour within two year launch number increase twenty thousand point zero release two point zero ,NF
product shall expected operate least five point zero year customer installation ,NF
product shall used office environment ,NF
product must able interface html browser product shall transmit data user product without problem product shall display html properly eighty point zero html browser tested minimum test eight point zero browser ,NF
product must able interface various database management system product shall communicate successfully database management system one hundred point zero transaction ,NF
product must able interface various email server product shall able send email ,NF
product shall available distribution via internet binary zip file ,NF
product shall available distribution packaged cd ,NF
product available licensing one server two five server five server license ,NF
new user must able added system within ten point zero minute ninety point zero new user able log system within ten point zero minute ,NF
product must designed using design pattern coding best practice ninety point zero maintenance software developer able integrate new functionality product two point zero working day ,NF
product must highly configurable use various database management system end user eighty point zero end user able integrate new database management system product without changing product software code ,NF
maintenance release offered customer year release shall take longer five point zero minute eighty point zero customer base install ,NF
every registered user access product support site via internet seventy point zero registered user shall find solution problem within five point zero minute using support site ,NF
customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff ,NF
product shall translated foreign language target market country language future release emerging target market shall take five point zero day configure product market language ,NF
product expected integrate multiple database management system product operate oracle sql server db2 mysql hsql m access ,NF
product shall able installed operating environment within two point zero day ,NF
product shall ensure company employee external user companyapproved user id may product access one hundred point zero logons shall either company employee external user companyapproved user id ,NF
manager able perform search query reservation user one hundred point zero search query reservation user shall logons management logons ,NF
product shall ensure database data corresponds data entered user conference room reservation system contain information entered user ,NF
product shall prevent input malicious data product adjacent hardware software system data shall remain one hundred point zero uncorrupted time malicious data input product ,NF
product dependent database filesystems shall remain operational result input malicious data product dependent database filesystems shall crash one hundred point zero time malicious data input product ,NF
product shall ability receive automatic software update new threat emerge one hundred point zero customer able receive automatic software update transmitted installed product ,NF
language product shall accommodate target market country ninety point zero survey respondent target market country find language product acceptable ,NF
product shall able display calendar date time according user locale ninety point zero survey respondent target market country find date time formatting product correct ,NF
product must developed j2se j2ee programming language library ,NF
product shall record meeting entry ,F
product notify employee meeting invitation ,F
product shall ability send meeting reminder employee ,F
product shall assign organizer contact information meeting create ,F
product record meeting acknowledgement ,F
product shall store new conference room ,F
product shall update existing conference room ,F
product able delete conference room ,F
product shall able store new room equipment ,F
product update existing room equipment ,F
product shall able delete room equipment ,F
product shall allow organizer invite employee meeting ,F
time conference room reserved conference room schedule shall updated reflect time date reservation ,F
product shall record transportation status equipment reserved ,F
product shall display map company building showing conference room location ,F
product shall record updated meeting agenda ,F
product shall send meeting confirmation meeting organizer ,F
product shall display room equipment according search parameter ,F
product shall display conference room according search parameter ,F
product shall record different meeting type ,F
product shall record equipment reserved ,F
product shall notify building personnel equipment transport request ,F
product allow priviledged user view meeting schedule multiple reporting view ,F
product shall able send meeting notification via different kind enduser specified method ,F
product shall customizable look feel ,F
product shall intuitive user interface ,F
product display available status unreserved conference room ,F
recreation inventory quantity adjustment period previous thirty point zero day shall take thirty point zero min ,NF
system shall allow minimum six point zero user work time ,NF
system shall utilize currently owned computer equipment ,NF
system shall able automatically backup business data restore demand ,NF
system shall maintain consistent security change user password permission take affect part system ,NF
system shall granularly control access right major subsystem possible assign access right subsystem independently ,NF
system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor ,NF
system shall require additional third party license resulting royalty fee ,NF
system shall allow generation inventory quantity adjustment document demand ,F
system shall allow demand generation inventory quantity adjustment document since certain point time ,F
iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly ,F
system shall allow entering storing modifying product formula ,F
product formula shall allow use semiproducts formula ,F
product formula ingredient shall allow defining substitutionary ingredient ,F
product formula substitutionary ingredient shall entered automatically pfe subsystem ,F
formula substitutionary ingredient shall kept persisted order ,F
product shall allow entering storing modifying product menu used po terminal ,F
pme subsystem shall allow building product menu based list product kept accounting system ,F
pme subsystem shall allow keeping submenu within menu product within submenu managed persisted order ,F
pme subsystem shall allow product exist one submenu ,F
rms system shall window xp look feel use gui future making use intuitive ,F
system shall generate inventory quantity adjustment document based product daily sale data product formula ,F
system shall generate inventory quantity adjustment document automatically daily product sale data available ,F
administrator shall able activate prepaid card via administration section five point zero second ,NF
customer shall able check status prepaid card entering pin number five point zero second ,NF
system shall let customer register website pay go user five point zero minute ,NF
system shall let customer register website unlimited movie subscriber user ten point zero minute ,NF
system shall let existing customer log website email address password five point zero second ,NF
system shall let customer cancel account process shall take longer two point zero minute database mark account inactive user able log website ,NF
system shall let administrator deactivate customer account one point zero minute customer longer able access website ,NF
system shall let administrator add remove movie website five point zero minute entered movie information stored database available website ,NF
system shall let administrator add remove category website five point zero minute ,NF
system shall let izogn manager access sale usage statistic two point zero minute ,NF
system shall let administrator generate unique prepaid pin two point zero minute generate excel file generated pin ,NF
website shall attractive audience website shall appear fun color bright vibrant ,NF
website african feel alienate nonafricans website use animation page describing service grab user attention encourage sign ,NF
website design modern clean concise ,NF
product able used ninety point zero novice user internet ,NF
user navigate maximum four point zero page create account website ,NF
user able access streaming movie two point zero click logging website ,NF
anonymous survey show seventy point zero customer comfortable purchasing streaming movie two point zero week using website ,NF
anonymous survey show ninety-five point zero customer comfortable using purchasing prepaid card month using system ,NF
product shall retain customer buying preference information ,NF
product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch predetermined movie three point zero minute ,NF
product shall use symbol word naturally understandable user familiar website ,NF
website use standard internet convention interacting user ,NF
interface user automated system shall maximum response time five point zero second unless noted exception ,NF
purchasing streaming movie prepaid card via credit card processing time maximum response time fifteen point zero second ,NF
streaming movie buffering time take longer ten point zero second plus latency user connection ,NF
streaming movie buffering occur latency user connection ,NF
credit card information secured server accessible authorized izogn administrator information encrypted database ,NF
website shall available use twenty-four point zero hour per day three hundred and sixty-five point zero day per year ,NF
website shall achieve nine hundred and ninety-five point zero time ,NF
movie shall streamed demand time day ,NF
website shall continue operate streaming server go ,NF
website shall continue operate payment gateway go ,NF
streaming server support fifty point zero simultaneous streaming connection ,NF
streaming server support maximum seven hundred point zero movie new server added support movie ,NF
server support maximum one thousand point zero simultaneous user ,NF
website shall capable supporting one hundred thousand point zero customer ,NF
product shall expected operate within maximum maintenance budget minimum two point zero year ,NF
aspect website shall accessed web browser internet ,NF
hardware supporting current website used support new system ,NF
must able interface following browser ie 5x sixty point zero netscape 6x 7x 8x firefox ten point zero ,NF
website must interface cybersource api process credit card transaction ,NF
website must fully operational msn tv2 ,NF
movie shall encoded streamed via window medium player ninety point zero ,NF
movie shall encoded fifty-six point zero k two hundred and fifty-six point zero k stream ,NF
promotional update website take day update ,NF
izogn administrator must able update category listing website within two point zero minute ,NF
izogn administrator must able add new product website within two point zero minute ,NF
system provide twenty-four point zero hour eight hundred point zero toll free number support customer ,NF
website provide help section answer solution common problem ,NF
velkat staff available phone support 7am7pm mf provide technical support izogn administrator ,NF
product shall able installed specified environment within one point zero working day ,NF
registered customer purchase streaming movie ,NF
customer stream movie purchased within two point zero day viewing period ,NF
authorized personnel access customer record database ,NF
administrator activate prepaid card ,NF
authorized personnel access sale information ,NF
website shall prevent data corrupted incorrect data entered ,NF
website shall protect intentional abuse notify administrator occurrence ,NF
data integrity script run weekly basis verify integrity database ,NF
website shall make user aware information practice collection data via privacy policy accessible page website ,NF
system shall notify customer change information policy ,NF
system shall reveal private information compliance organization information policy ,NF
customer information stored secure database accessible authorized personnel ,NF
credit card information encrypted database ,NF
streaming server antivirus software prevent infection malicious virus ,NF
website cater tribe nigeria ,NF
website shall offensive religious ethnic group ,NF
website appeal african nigerian ,NF
website use flash provide animation home page ,NF
izognmovies shall meet licensing requirement set forth appropriate organization order stream african movie ,NF
website comply w3c standard ,NF
php code comply pear standard ,NF
website allow customer search movie title actor director ,F
viewing movie detail website display movie description actor director entered administrator ,F
website shall request authorize credit card payment allowing user stream movie ,F
shall able stream purchased movie via window medium player two point zero day aftere purchase date ,F
website shall allow customer browse movie category entered izogn administrator ,F
website shall allow customer view review selected movie customer ,F
website shall allow customer add movie review selected movie ,F
website shall allow izogn administrator approve review posted customer ,F
system allow customer pay streaming movie prepaid card ,F
website shall allow customer purchase prepaid card five point zero ten point zero twenty point zero value either credit card mailin payment option ,F
system shall automatically update main page website every friday show four point zero latest movie added website ,F
system shall allow user update billing contact information via account section website ,F
prepaid card shall distributed via email via printed paper card ,F
registered customer purchase streaming movie ,F
movie streamed customer purchased movie within 2day time period stream movie ,F
website must able support free trial period various parameter set izogn manager ,F
streaming movie sale logged database accessible administrator ,F
registered customer information shall stored maintained database even customer cancel account ,F
daily usage statistic logged accessible administrator ,F
owner shall free access streaming movie ,F
total lead cycle time must completed five point zero minute ninety point zero lead volume business hour 8am cst 8pm cst three point zero minute ninety-nine point zero lead volume business hour ,NF
lead evaluation complete time period longer twenty-five point zero second ninety-seven point zero lead processed ,NF
lead process longer twenty-five point zero second system record event duration ,NF
process must fit within processing time condition set forth auto rep assignment process lead assigned within three point zero minute total life cycle ,NF
lead washing process operate within established physical web service structure ,NF
washing process must use non binding neutral data format xml receiving processing lead data ,NF
defect report available technical unit 24x7 basis ,NF
washing parameter updated scheduled maintenance hour ,NF
vendor verify invalid lead ,F
vendor submit credit validation record applied enterprise billing system ,F
lead scored high range system supply lead data score enterprise system ,F
lead washing functionality validate lead received web service valid data ,F
lead washing functionality insert lead captured web service ,F
lead score fall within high average score process ara functionality ,F
lead score fall within medium average set manual verification enrollment coordinator eleads system ,F
lead score fall within low average returned supplying vendor ,F
lead washing functionality compile contact academic scoring information total score ,F
lead washing functionality use parameter supplied corporate school score part lead ,F
lead washing functionality return lead data supplied vendor along reason rejection ,F
lead washing functionality interface lead data parameter maintained ,F
lead washing functionality verify user authentication right make parameter update ,F
lead washing functionality store potential lead duplicate returned enterprise system ,F
prior submitting lead enterprise system lead washing functionality assign lead admission rep ,F
lead washing functionality shall receive period list available rep enterprise system ,F
product shall simulate look ship sea ,NF
product shall display grid within circle view periscope ,NF
product shall display type ship grid using image specific type ship ,NF
offensive player take shot product shall simulate sound ship sea ,NF
shot marked miss product shall simulate sound shot missing target ,NF
shot marked hit product shall simulate sound shot hitting target ,NF
ship sunk product shall simulate sound sinking ship ,NF
product shall available twenty-four point zero hour per day seven day per week ,NF
product shall able handle large number game simultaneously ,NF
response time shall fast enough maintain flow game response time shall two point zero second ninety-five point zero response four point zero remaining response ,NF
product shall protect identity player product shall provide player access information might reveal identity another player ,NF
product shall intuitive selfexplanatory nine ten user shall able successfully complete game training ,NF
product shall available player understand english spanish french product shall allow user select language upon accessing product ,NF
product shall provide player access information might reveal identity another player ,NF
response time shall fast enough maintain flow game response time shall two point zero second ninety-five point zero response four point zero remaining response ,NF
product shall maintain list player ,F
product shall allow user identify player ,F
game initiated product shall make player assigned game unavailable selection list player ,F
product shall allow user remove list player time ,F
product shall make inactive player unavailable selection list player ,F
product shall remove player inactive twenty-four point zero hour list player ,F
product shall allow player initiate game selecting another available player list player ,F
game initiated product shall display defensive grid player ,F
game initiated product shall display offensive grid player ,F
product shall prevent player viewing offensive defensive grid player ,F
game initiated product shall allow player position five point zero ship respective defensive grid ,F
product shall allow player position ship horizontally grid ,F
product shall allow player position ship vertically grid ,F
product shall allow player position ship diagonally grid ,F
product shall prevent player overlapping ship grid ,F
player positioned five point zero ship defensive grid product shall define status player first turn ,F
turn product shall identify one player offensive status one player defensive status ,F
product shall maintain status player turn either offensive defensive ,F
start turn product shall notify player status ,F
